experiment,run_id,scheme,N,query_id,q,bucket,trapdoor_ms,server_ms,unmask_ms,delta_replay_ms,verify_ms,client_ms,total_ms,groups,aggregate_bytes,delta_records,delta_bytes,requested_buckets,returned_bucket_slots,trapdoor_bytes,bucket_bytes,client_to_server_bytes,server_to_client_bytes,candidates,final_results,correct,seed
"E1",0,"SliceBF",300000,"common_001",3,"common",0.0296,0.6487,2.3017,0.396,11.8237,14.5214,15.1997,1,150336,0,0,1616,103424,616,69966848,7080,70117184,2313,2313,1,20260711
"E1",0,"SliceBF",300000,"rare_003",3,"rare",0.0374,0.106,1.5907,0.3419,0.0117,1.9443,2.0877,1,150336,0,0,1,64,616,25280,620,175616,1,1,1,20260711
"E1",0,"SliceBF",300000,"medium_014",3,"medium",0.0286,0.1042,1.9065,0.3501,0.0745,2.3311,2.4639,1,150336,0,0,10,640,616,498560,656,648896,10,10,1,20260711
"E1",0,"SliceBF",300000,"rare_013",3,"rare",0.0296,0.1135,1.37,0.4713,0.1523,1.9936,2.1367,1,150336,0,0,31,1984,616,1258816,740,1409152,31,31,1,20260711
"E1",0,"SliceBF",300000,"medium_004",3,"medium",0.0296,0.1025,1.1049,0.3431,0.0091,1.4571,1.5892,1,150336,0,0,1,64,616,25280,620,175616,1,1,1,20260711
"E1",0,"SliceBF",300000,"rare_020",3,"rare",0.029,0.0989,2.3129,0.3419,0.0172,2.672,2.7999,1,150336,0,0,1,64,616,25280,620,175616,1,1,1,20260711
"E1",0,"SliceBF",300000,"rare_022",3,"rare",0.0292,0.1012,1.2467,0.3418,0.0279,1.6164,1.7468,1,150336,0,0,4,256,616,199424,632,349760,4,4,1,20260711
"E1",0,"SliceBF",300000,"rare_024",3,"rare",0.0291,0.1057,2.4958,0.3482,0.1303,2.9743,3.1091,1,150336,0,0,22,1408,616,982144,704,1132480,22,22,1,20260711
"E1",0,"SliceBF",300000,"rare_019",3,"rare",0.0297,0.1051,1.6262,0.3416,0.0087,1.9765,2.1113,1,150336,0,0,1,64,616,25280,620,175616,1,1,1,20260711
"E1",0,"SliceBF",300000,"medium_011",3,"medium",0.0285,0.1002,1.2822,0.4762,0.0147,1.7731,1.9018,1,150336,0,0,1,64,616,25280,620,175616,1,1,1,20260711
"E1",0,"SliceBF",300000,"rare_005",3,"rare",0.0294,0.1225,1.3718,0.3416,0.0116,1.725,1.8769,1,150336,0,0,1,64,616,41664,620,192000,1,1,1,20260711
"E1",0,"SliceBF",300000,"common_024",3,"common",0.0286,4.85,2.7052,1.0373,296.769,300.511,305.39,1,150336,0,0,4665,298560,616,171269312,19276,171419648,72721,72721,1,20260711
"E1",0,"SliceBF",300000,"rare_025",3,"rare",0.0492,0.1464,2.3318,0.3468,0.0276,2.7062,2.9018,1,150336,0,0,2,128,616,50560,624,200896,2,2,1,20260711
"E1",0,"SliceBF",300000,"rare_012",3,"rare",0.0307,0.1058,1.4807,0.3424,0.0759,1.899,2.0355,1,150336,0,0,14,896,616,583296,672,733632,14,14,1,20260711
"E1",0,"SliceBF",300000,"common_000",3,"common",0.0294,0.6758,2.8757,0.3922,24.2448,27.5127,28.2179,1,150336,0,0,1862,119168,616,81887360,8064,82037696,4242,4242,1,20260711
"E1",0,"SliceBF",300000,"common_008",3,"common",0.0441,0.7896,2.8379,0.3859,18.7366,21.9604,22.7941,1,150336,0,0,2357,150848,616,95556032,10044,95706368,3878,3878,1,20260711
"E1",0,"SliceBF",300000,"common_003",3,"common",0.0422,0.343,2.4392,0.3548,4.1981,6.9921,7.3773,1,150336,0,0,835,53440,616,32118848,3956,32269184,898,898,1,20260711
"E1",0,"SliceBF",300000,"rare_015",3,"rare",0.0351,0.1042,1.2842,0.3421,0.0156,1.6419,1.7812,1,150336,0,0,2,128,616,66944,624,217280,2,2,1,20260711
"E1",0,"SliceBF",300000,"rare_011",3,"rare",0.029,0.1031,1.7484,0.3644,0.0221,2.1349,2.267,1,150336,0,0,1,64,616,25280,620,175616,1,1,1,20260711
"E1",0,"SliceBF",300000,"medium_016",3,"medium",0.0305,0.1046,1.5462,0.3417,0.0109,1.8988,2.0339,1,150336,0,0,1,64,616,25280,620,175616,1,1,1,20260711
"E1",0,"SliceBF",300000,"common_022",3,"common",0.0286,1.4466,2.527,0.5657,49.5536,52.6463,54.1215,1,150336,0,0,4274,273536,616,158001536,17712,158151872,11283,11283,1,20260711
