experiment,scheme,N,q,selectivity,metric,unit,mean,median,p50,p95,sd_between_runs,ci95_low,ci95_high,ci95_half,n_runs,n_measurements,param1,param2
E1,SliceBF,300000,3,all,total_query_ms,ms,19.284266249999998,2.5315000000000003,2.5315000000000003,67.52594999999995,0.0998262453943405,19.20740575,19.357498749999998,0.07504649999999913,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,common,total_query_ms,ms,50.95337857142857,32.83605,32.83605,139.4553,0.2493722414046186,50.75856785714286,51.14116571428572,0.19129892857143105,5,140,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,medium,total_query_ms,ms,2.2395784615384615,2.13185,2.13185,3.0246949999999995,0.04273663513016107,2.2067453846153846,2.272990769230769,0.03312269230769216,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,rare,total_query_ms,ms,2.223756153846154,2.11815,2.11815,2.92387,0.06732475699062083,2.173003846153846,2.281764615384615,0.054380384615384525,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,total_query_ms,ms,26.37231375,8.7873,8.7873,79.44140499999997,0.11568986052427122,26.289426000000002,26.47308125,0.09182762499999875,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,common,total_query_ms,ms,60.28144857142858,42.004400000000004,42.004400000000004,148.35595,0.2900076604107876,60.07345357142857,60.51523285714286,0.22088964285714496,5,140,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,medium,total_query_ms,ms,8.232964615384613,7.63745,7.63745,10.866525,0.050375529304045104,8.197026923076923,8.276783076923076,0.039878076923076655,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,rare,total_query_ms,ms,7.994133076923077,7.5415,7.5415,10.25255,0.07129466946056386,7.947239999999999,8.056144615384614,0.05445230769230758,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,total_query_ms,ms,18.817315,2.1311999999999998,2.1311999999999998,65.5548749999999,0.1241374213604875,18.749277499999998,18.9265435,0.08863300000000152,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,common,total_query_ms,ms,50.360445,31.73475,31.73475,139.17365,0.3223318948696435,50.183665000000005,50.652970714285715,0.234652857142855,5,140,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,medium,total_query_ms,ms,1.8329615384615383,1.7723499999999999,1.7723499999999999,2.5707549999999997,0.051861420871897324,1.7926176923076924,1.8733053846153842,0.0403438461538459,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,rare,total_query_ms,ms,1.8321438461538464,1.7202,1.7202,2.6188900000000004,0.06016139059761714,1.7778884615384616,1.8718038461538462,0.04695769230769231,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,total_query_ms,ms,19.68360275,3.4139,3.4139,65.58364499999995,0.08772360325637127,19.620437,19.75088075,0.06522187500000065,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,common,total_query_ms,ms,50.411333571428564,32.1334,32.1334,139.47379999999998,0.19994952973838515,50.26260071428571,50.55979142857142,0.148595357142856,5,140,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,medium,total_query_ms,ms,3.1921884615384615,3.1225,3.1225,4.0569999999999995,0.06613326809865287,3.135513846153846,3.2386323076923076,0.051559230769230746,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,rare,total_query_ms,ms,3.0836146153846156,3.0646,3.0646,3.8467000000000002,0.05021975976356376,3.042745384615385,3.1221400000000004,0.039697307692307726,5,130,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,trapdoor_ms,ms,0.03579625,0.0304,0.0304,0.048905,0.0017807802012039557,0.03440975,0.03718275,0.0013864999999999988,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,trapdoor_ms,ms,0.036046,0.0313,0.0313,0.048405,0.0009034220532231875,0.035428749999999995,0.03686325,0.0007172500000000026,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,trapdoor_ms,ms,0.035703250000000006,0.0308,0.0308,0.04901499999999999,0.0011037374716163246,0.034872,0.036546499999999996,0.0008372499999999977,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,trapdoor_ms,ms,0.03890225,0.0316,0.0316,0.04790499999999999,0.0037556077237911843,0.03622775,0.04199375,0.002883,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,server_ms,ms,0.5313610000000001,0.11185,0.11185,1.8948599999999953,0.008329577354599093,0.52480125,0.5382755,0.0067371250000000105,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,server_ms,ms,0.4395295,0.0147,0.0147,1.7441149999999999,0.006481563733968819,0.43477875,0.44488374999999997,0.0050524999999999876,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,server_ms,ms,0.52864575,0.1106,0.1106,1.8829949999999998,0.013856771545213892,0.51896375,0.5399104374999998,0.01047334374999992,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,server_ms,ms,0.980399,0.9166,0.9166,1.3978749999999998,0.0185426654848015,0.96629875,0.99517725,0.014439250000000015,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,unmask_ms,ms,1.960407,1.8979,1.8979,2.92134,0.030005046614590487,1.935622,1.9802510000000002,0.022314500000000126,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoBitSlice,300000,3,all,unmask_ms,ms,9.21009775,8.1004,8.1004,14.182475,0.04568318173333908,9.17724075,9.249952500000001,0.036355875000000815,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoMask,300000,3,all,unmask_ms,ms,1.55351775,1.41985,1.41985,2.4722649999999997,0.04137605615532674,1.5181274999999999,1.5822402500000001,0.03205637500000014,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF-NoPruning,300000,3,all,unmask_ms,ms,1.971479,1.85895,1.85895,2.95341,0.04991304371729893,1.93726975,2.0144355,0.038582874999999905,5,400,network_transport=excluded,ci=bootstrap_over_process_means
E1,SliceBF,300000,3,all,delta_replay_ms,ms,0.40002724999999995,0.3443,0.3443,0.5813249999999998,0.010135753641195101,0.39279925000000004,0.40857124999999994,0.007885999999999949,5,400,network_transport=excluded,ci=bootstrap_over_process_means
