experiment,run_id,scheme,N,query_id,q,bucket,trapdoor_ms,server_ms,unmask_ms,delta_replay_ms,verify_ms,client_ms,total_ms,groups,aggregate_bytes,delta_records,delta_bytes,requested_buckets,returned_bucket_slots,trapdoor_bytes,bucket_bytes,client_to_server_bytes,server_to_client_bytes,candidates,final_results,correct,seed
E2,0,SliceBF,300000,common_001,2,common,0.0241,2.0186,1.9424,0.5522,81.1629,83.6575,85.7002,1,150336,0,0,4436,283904,424,165283584,18168,165433920,18702,18702,1,20260711
E2,0,SliceBF,300000,medium_001,2,medium,0.0388,0.0824,1.1008,0.3426,0.1042,1.5476,1.6688,1,150336,0,0,19,1216,424,775232,500,925568,19,19,1,20260711
E2,0,SliceBF,300000,common_000,2,common,0.0229,2.102,2.2488,0.6464,92.1559,95.0511,97.176,1,150336,0,0,4527,289728,424,167919936,18532,168070272,21859,21859,1,20260711
E2,0,SliceBF,300000,rare_013,2,rare,0.0419,0.078,1.2753,0.3422,0.0246,1.6421,1.762,1,150336,0,0,3,192,424,92224,436,242560,3,3,1,20260711
E2,0,SliceBF,300000,medium_025,2,medium,0.0252,0.0936,1.0073,0.3536,0.2413,1.6022,1.721,1,150336,0,0,54,3456,424,2020480,640,2170816,54,54,1,20260711
E2,0,SliceBF,300000,rare_016,2,rare,0.0236,0.0729,0.944,0.3422,0.0251,1.3113,1.4078,1,150336,0,0,4,256,424,150272,440,300608,4,4,1,20260711
E2,0,SliceBF,300000,common_007,2,common,0.023,0.9515,1.1362,0.5309,20.411,22.0781,23.0526,1,150336,0,0,3035,194240,424,104020544,12564,104170880,5570,5570,1,20260711
E2,0,SliceBF,300000,common_018,2,common,0.0376,2.0794,1.6183,0.5581,83.1715,85.3479,87.4649,1,150336,0,0,4344,278016,424,153094656,17800,153244992,23981,23981,1,20260711
E2,0,SliceBF,300000,common_022,2,common,0.0932,1.7341,2.3124,0.4916,65.0476,67.8516,69.6789,1,150336,0,0,4545,290880,424,165720768,18604,165871104,16543,16543,1,20260711
E2,0,SliceBF,300000,common_025,2,common,0.0379,2.5592,2.217,0.6272,129.492,132.337,134.934,1,150336,0,0,4684,299776,424,171569408,19160,171719744,31326,31326,1,20260711
E2,0,SliceBF,300000,rare_010,2,rare,0.0363,0.0816,1.0467,0.3475,0.0623,1.4565,1.5744,1,150336,0,0,12,768,424,418048,472,568384,12,12,1,20260711
E2,0,SliceBF,300000,common_021,2,common,0.0227,1.2779,1.8691,0.4544,37.1237,39.4472,40.7478,1,150336,0,0,3903,249792,424,135564608,16036,135714944,10092,10092,1,20260711
E2,0,SliceBF,300000,rare_015,2,rare,0.0372,0.0736,1.0327,0.3436,0.0134,1.3897,1.5005,1,150336,0,0,1,64,424,25280,428,175616,1,1,1,20260711
E2,0,SliceBF,300000,common_015,2,common,0.0215,1.1995,1.2798,0.4179,32.1243,33.822,35.043,1,150336,0,0,3295,210880,424,109864256,13604,110014592,8114,8114,1,20260711
E2,0,SliceBF,300000,rare_014,2,rare,0.0364,0.1911,0.9866,0.3764,0.0137,1.3767,1.6042,1,150336,0,0,1,64,424,25280,428,175616,1,1,1,20260711
E2,0,SliceBF,300000,common_020,2,common,0.0229,2.095,2.202,0.6633,128.675,131.54,133.658,1,150336,0,0,4083,261312,424,156990528,16756,157140864,26842,26842,1,20260711
E2,0,SliceBF,300000,common_026,2,common,0.0395,3.4089,2.3146,0.7773,218.584,221.676,225.125,1,150336,0,0,4685,299840,424,171701184,19164,171851520,50970,50970,1,20260711
E2,0,SliceBF,300000,rare_020,2,rare,0.0425,0.0852,0.9886,0.3434,0.0284,1.3604,1.4881,1,150336,0,0,3,192,424,124992,436,275328,3,3,1,20260711
E2,0,SliceBF,300000,medium_014,2,medium,0.0231,0.0772,1.1773,0.3423,0.1184,1.638,1.7383,1,150336,0,0,23,1472,424,892736,516,1043072,23,23,1,20260711
E2,0,SliceBF,300000,rare_025,2,rare,0.025,0.0704,1.4463,0.3417,0.0247,1.8127,1.9081,1,150336,0,0,3,192,424,108608,436,258944,3,3,1,20260711
E2,0,SliceBF,300000,rare_022,2,rare,0.0233,0.0715,1.0528,0.3415,0.0167,1.411,1.5058,1,150336,0,0,3,192,424,100416,436,250752,3,3,1,20260711
E2,0,SliceBF,300000,medium_016,2,medium,0.0216,0.1033,1.6789,0.456,0.5422,2.6771,2.802,1,150336,0,0,96,6144,424,3966976,808,4117312,96,96,1,20260711
E2,0,SliceBF,300000,rare_003,2,rare,0.0218,0.0697,0.977,0.3449,0.0082,1.3301,1.4216,1,150336,0,0,1,64,424,25280,428,175616,1,1,1,20260711
E2,0,SliceBF,300000,medium_022,2,medium,0.0217,0.0712,1.1337,0.3416,0.0351,1.5104,1.6033,1,150336,0,0,8,512,424,218624,456,368960,8,8,1,20260711
E2,0,SliceBF,300000,rare_019,2,rare,0.0223,0.0746,1.8091,0.4548,0.0315,2.2954,2.3923,1,150336,0,0,4,256,424,232192,440,382528,4,4,1,20260711
E2,0,SliceBF,300000,common_019,2,common,0.0219,2.156,1.9686,0.5647,128.618,131.151,133.329,1,150336,0,0,4071,260544,424,156687168,16708,156837504,26737,26737,1,20260711
E2,0,SliceBF,300000,medium_002,2,medium,0.038,0.0928,1.3325,0.3433,0.2399,1.9157,2.0465,1,150336,0,0,55,3520,424,1849152,644,1999488,55,55,1,20260711
E2,0,SliceBF,300000,medium_012,2,medium,0.0218,0.0798,1.3106,0.3792,0.1524,1.8422,1.9438,1,150336,0,0,32,2048,424,1267712,552,1418048,32,32,1,20260711
E2,0,SliceBF,300000,common_005,2,common,0.0211,1.9196,2.0704,0.4597,54.661,57.1911,59.1318,1,150336,0,0,4216,269824,424,157288960,17288,157439296,12472,12472,1,20260711
E2,0,SliceBF,300000,medium_023,2,medium,0.0355,0.108,1.0663,0.3449,0.4648,1.876,2.0195,1,150336,0,0,102,6528,424,4061312,832,4211648,104,104,1,20260711
E2,0,SliceBF,300000,medium_010,2,medium,0.0233,0.0798,1.1105,0.3425,0.1188,1.5718,1.6749,1,150336,0,0,26,1664,424,984960,528,1135296,26,26,1,20260711
E2,0,SliceBF,300000,rare_024,2,rare,0.0227,0.0703,1.0147,0.4234,0.0182,1.4563,1.5493,1,150336,0,0,1,64,424,25280,428,175616,1,1,1,20260711
E2,0,SliceBF,300000,rare_011,2,rare,0.023,0.0944,1.3067,0.4783,0.018,1.803,1.9204,1,150336,0,0,2,128,424,83328,432,233664,2,2,1,20260711
E2,0,SliceBF,300000,rare_006,2,rare,0.0216,0.0725,1.5717,0.3414,0.0083,1.9214,2.0155,1,150336,0,0,1,64,424,41664,428,192000,1,1,1,20260711
E2,0,SliceBF,300000,medium_013,2,medium,0.0246,0.0914,1.1966,0.3463,0.2878,1.8307,1.9467,1,150336,0,0,67,4288,424,2578496,692,2728832,67,67,1,20260711
E2,0,SliceBF,300000,medium_021,2,medium,0.0221,0.1154,1.1236,0.3457,0.5869,2.0562,2.1937,1,150336,0,0,135,8640,424,5575488,964,5725824,137,137,1,20260711
E2,0,SliceBF,300000,rare_002,2,rare,0.0218,0.069,1.1422,0.3419,0.0076,1.4917,1.5825,1,150336,0,0,1,64,424,25280,428,175616,1,1,1,20260711
E2,0,SliceBF,300000,common_023,2,common,0.0206,2.0655,1.7039,0.5634,135.239,137.506,139.592,1,150336,0,0,3880,248320,424,151842304,15944,151992640,27923,27923,1,20260711
E2,0,SliceBF,300000,rare_001,2,rare,0.0355,0.0922,1.9387,0.4195,0.0272,2.3854,2.5131,1,150336,0,0,2,128,424,66944,432,217280,2,2,1,20260711
E2,0,SliceBF,300000,medium_017,2,medium,0.0247,0.0802,0.9697,0.3458,0.0727,1.3882,1.4931,1,150336,0,0,14,896,424,534144,480,684480,14,14,1,20260711
E2,0,SliceBF,300000,common_009,2,common,0.0226,3.0068,2.1854,0.6384,133.742,136.565,139.595,1,150336,0,0,4691,300224,424,171516992,19188,171667328,35020,35020,1,20260711
E2,0,SliceBF,300000,medium_018,2,medium,0.0376,0.0851,1.2609,0.3458,0.0623,1.669,1.7917,1,150336,0,0,12,768,424,368896,472,519232,12,12,1,20260711
E2,0,SliceBF,300000,rare_009,2,rare,0.0227,0.0713,0.9968,0.3414,0.0076,1.3458,1.4398,1,150336,0,0,1,64,424,25280,428,175616,1,1,1,20260711
E2,0,SliceBF,300000,common_024,2,common,0.0223,2.7573,1.2619,0.7222,151.214,153.198,155.977,1,150336,0,0,4178,267392,424,159408512,17136,159558848,31904,31904,1,20260711
E2,0,SliceBF,300000,rare_012,2,rare,0.0431,0.081,1.179,0.342,0.0213,1.5423,1.6664,1,150336,0,0,2,128,424,83328,432,233664,2,2,1,20260711
E2,0,SliceBF,300000,common_016,2,common,0.1475,1.1004,1.6272,0.4203,28.9289,30.9764,32.2243,1,150336,0,0,3330,213120,424,111388032,13744,111538368,8226,8226,1,20260711
E2,0,SliceBF,300000,medium_003,2,medium,0.0411,0.0848,1.018,0.3433,0.0905,1.4518,1.5777,1,150336,0,0,18,1152,424,651648,496,801984,18,18,1,20260711
E2,0,SliceBF,300000,rare_018,2,rare,0.0236,0.0777,1.1509,0.3416,0.0078,1.5003,1.6016,1,150336,0,0,1,64,424,25280,428,175616,1,1,1,20260711
E2,0,SliceBF,300000,rare_017,2,rare,0.0228,0.0694,1.0543,0.343,0.0078,1.4051,1.4973,1,150336,0,0,1,64,424,25280,428,175616,1,1,1,20260711
E2,0,SliceBF,300000,rare_007,2,rare,0.0224,0.0734,1.5501,0.4821,0.0642,2.0964,2.1922,1,150336,0,0,9,576,424,391360,460,541696,9,9,1,20260711
E2,0,SliceBF,300000,common_013,2,common,0.0271,2.1513,2.0139,0.5407,112.6,115.154,117.333,1,150336,0,0,3783,242112,424,149340992,15556,149491328,23494,23494,1,20260711
E2,0,SliceBF,300000,medium_015,2,medium,0.042,0.0895,1.2419,0.3816,0.2215,1.845,1.9765,1,150336,0,0,24,1536,424,885248,520,1035584,24,24,1,20260711
E2,0,SliceBF,300000,medium_024,2,medium,0.0255,0.0959,1.327,0.4613,0.2393,2.0276,2.149,1,150336,0,0,52,3328,424,2019072,632,2169408,52,52,1,20260711
E2,0,SliceBF,300000,medium_008,2,medium,0.0237,0.0741,0.9631,0.3423,0.0459,1.3513,1.4491,1,150336,0,0,10,640,424,367488,464,517824,10,10,1,20260711
E2,0,SliceBF,300000,common_008,2,common,0.0236,0.9675,1.1098,0.406,20.2019,21.7177,22.7088,1,150336,0,0,3055,195520,424,104821056,12644,104971392,5606,5606,1,20260711
E2,0,SliceBF,300000,medium_004,2,medium,0.0354,0.0955,1.246,0.3483,0.3638,1.9581,2.089,1,150336,0,0,53,3392,424,2126272,636,2276608,53,53,1,20260711
E2,0,SliceBF,300000,common_014,2,common,0.0248,2.1121,2.1368,0.5655,71.7493,74.4516,76.5885,1,150336,0,0,4532,290048,424,163065600,18552,163215936,18415,18415,1,20260711
E2,0,SliceBF,300000,medium_019,2,medium,0.042,0.1275,1.5272,0.3457,0.6742,2.5471,2.7166,1,150336,0,0,109,6976,424,4787136,860,4937472,111,111,1,20260711
E2,0,SliceBF,300000,common_004,2,common,0.0279,0.9311,1.414,0.3919,19.4638,21.2697,22.2287,1,150336,0,0,2980,190720,424,102220544,12344,102370880,5199,5199,1,20260711
E2,0,SliceBF,300000,rare_004,2,rare,0.0762,0.0824,1.0147,0.3418,0.0171,1.3736,1.5322,1,150336,0,0,2,128,424,83328,432,233664,2,2,1,20260711
E2,0,SliceBF,300000,medium_009,2,medium,0.0234,0.075,0.8976,0.3456,0.0688,1.312,1.4104,1,150336,0,0,14,896,424,517760,480,668096,14,14,1,20260711
E2,0,SliceBF,300000,rare_008,2,rare,0.0218,0.0793,1.2024,0.5615,0.1052,1.8691,1.9702,1,150336,0,0,13,832,424,492480,476,642816,13,13,1,20260711
E2,0,SliceBF,300000,common_002,2,common,0.0228,2.1204,1.8291,0.5356,85.5494,87.9141,90.0573,1,150336,0,0,4527,289728,424,163578176,18532,163728512,21992,21992,1,20260711
E2,0,SliceBF,300000,medium_011,2,medium,0.0407,0.0882,1.0224,0.3433,0.1062,1.4719,1.6008,1,150336,0,0,19,1216,424,775232,500,925568,19,19,1,20260711
E2,0,SliceBF,300000,medium_000,2,medium,0.023,0.1025,1.11,0.3471,0.4131,1.8702,1.9957,1,150336,0,0,91,5824,424,3709504,788,3859840,92,92,1,20260711
E2,0,SliceBF,300000,common_003,2,common,0.023,0.9103,1.2756,0.3936,18.6434,20.3126,21.2459,1,150336,0,0,2966,189824,424,101735552,12288,101885888,5163,5163,1,20260711
E2,0,SliceBF,300000,medium_007,2,medium,0.0352,0.0837,1.1701,0.3433,0.1062,1.6196,1.7385,1,150336,0,0,21,1344,424,842176,508,992512,21,21,1,20260711
E2,0,SliceBF,300000,common_027,2,common,0.0228,3.4898,2.6768,0.8067,193.41,196.894,200.406,1,150336,0,0,4693,300352,424,171600320,19196,171750656,51308,51308,1,20260711
E2,0,SliceBF,300000,common_017,2,common,0.0446,1.4022,1.8769,0.4419,36.4592,38.778,40.2248,1,150336,0,0,3789,242496,424,130257856,15580,130408192,10176,10176,1,20260711
E2,0,SliceBF,300000,rare_023,2,rare,0.0364,0.0744,1.1305,0.3419,0.0293,1.5017,1.6125,1,150336,0,0,1,64,424,41664,428,192000,1,1,1,20260711
E2,0,SliceBF,300000,common_006,2,common,0.0226,1.5413,1.8216,0.4706,57.0596,59.3518,60.9157,1,150336,0,0,4473,286272,424,164375744,18316,164526080,13886,13886,1,20260711
E2,0,SliceBF,300000,common_012,2,common,0.0362,1.646,1.9838,0.5162,67.1148,69.6148,71.297,1,150336,0,0,4437,283968,424,163842496,18172,163992832,15452,15452,1,20260711
E2,0,SliceBF,300000,medium_006,2,medium,0.0398,0.0952,1.2345,0.3439,0.0423,1.6207,1.7557,1,150336,0,0,8,512,424,235008,456,385344,8,8,1,20260711
E2,0,SliceBF,300000,common_010,2,common,0.0241,2.3725,2.6156,0.5897,111.003,114.208,116.605,1,150336,0,0,4644,297216,424,170615552,19000,170765888,26157,26157,1,20260711
E2,0,SliceBF,300000,rare_005,2,rare,0.0394,0.0775,1.2941,0.347,0.026,1.6671,1.784,1,150336,0,0,3,192,424,108608,436,258944,3,3,1,20260711
E2,0,SliceBF,300000,rare_000,2,rare,0.0241,0.0704,1.0525,0.3415,0.0094,1.4034,1.4979,1,150336,0,0,1,64,424,25280,428,175616,1,1,1,20260711
E2,0,SliceBF,300000,common_011,2,common,0.0234,4.6701,1.9089,0.8717,281.336,284.116,288.81,1,150336,0,0,4661,298304,424,171200960,19068,171351296,72862,72862,1,20260711
E2,0,SliceBF,300000,medium_005,2,medium,0.059,0.112,1.2393,0.3511,0.1297,1.7201,1.8911,1,150336,0,0,23,1472,424,991040,516,1141376,24,24,1,20260711
E2,0,SliceBF,300000,rare_021,2,rare,0.0228,0.0687,1.0093,0.3414,0.0082,1.3589,1.4504,1,150336,0,0,1,64,424,25280,428,175616,1,1,1,20260711
E2,0,SliceBF,300000,medium_020,2,medium,0.2073,0.0938,1.2569,0.3436,0.311,1.9115,2.2126,1,150336,0,0,64,4096,424,2879488,680,3029824,65,65,1,20260711
E2,0,XEBFF-Conj,300000,common_001,2,common,72.9697,32.7074,0,0,11.8242,11.8242,117.501,0,0,0,0,0,0,1185572,0,1185572,654574,24699,18702,1,20260711
E2,0,XEBFF-Conj,300000,medium_001,2,medium,5.0173,2.2092,0,0,0.0215,0.0215,7.248,0,0,0,0,0,0,77396,0,77396,669,1612,19,1,20260711
E2,0,XEBFF-Conj,300000,common_000,2,common,123.202,53.8631,0,0,14.168,14.168,191.233,0,0,0,0,0,0,1971284,0,1971284,765069,41068,21859,1,20260711
E2,0,XEBFF-Conj,300000,rare_013,2,rare,0.1052,0.0275,0,0,0.0096,0.0096,0.1423,0,0,0,0,0,0,1028,0,1028,109,21,3,1,20260711
E2,0,XEBFF-Conj,300000,medium_025,2,medium,12.4991,6.0273,0,0,0.0588,0.0588,18.5852,0,0,0,0,0,0,209732,0,209732,1894,4369,54,1,20260711
E2,0,XEBFF-Conj,300000,rare_016,2,rare,1.0046,0.4839,0,0,0.007,0.007,1.4955,0,0,0,0,0,0,16580,0,16580,144,345,4,1,20260711
E2,0,XEBFF-Conj,300000,common_007,2,common,19.2769,8.6189,0,0,3.5417,3.5417,31.4375,0,0,0,0,0,0,308132,0,308132,194954,6419,5570,1,20260711
