run_id,scheme,N,documents,pairs,setup_ms,ms_per_document,ms_per_pair,build_attempts,success,seed
0,Doris,50000,50000,711521,22857.6,0.457151,0.0321249,2,1,20260711
1,Doris,50000,50000,711521,18667.6,0.373352,0.0262362,1,1,20260711
2,Doris,50000,50000,711521,18048.5,0.360971,0.0253661,1,1,20260711
3,Doris,50000,50000,711521,18040.3,0.360805,0.0253545,1,1,20260711
4,Doris,50000,50000,711521,18047.4,0.360948,0.0253645,1,1,20260711
5,Doris,50000,50000,711521,18077.6,0.361552,0.025407,1,1,20260711
6,Doris,50000,50000,711521,18079.7,0.361594,0.02541,1,1,20260711
7,Doris,50000,50000,711521,18021.2,0.360423,0.0253276,1,1,20260711
8,Doris,50000,50000,711521,19076.2,0.381524,0.0268104,1,1,20260711
9,Doris,50000,50000,711521,17893.7,0.357874,0.0251485,1,1,20260711
0,Ren,50000,50000,711521,5206.49,0.10413,0.00731741,,1,20260711
1,Ren,50000,50000,711521,5204.92,0.104098,0.0073152,,1,20260711
2,Ren,50000,50000,711521,5212.66,0.104253,0.00732608,,1,20260711
3,Ren,50000,50000,711521,5229.83,0.104597,0.00735021,,1,20260711
4,Ren,50000,50000,711521,5192.32,0.103846,0.0072975,,1,20260711
0,SliceBF,50000,50000,711521,4819.05,0.0963809,0.00677288,,1,20260711
1,SliceBF,50000,50000,711521,4965.88,0.0993177,0.00697925,,1,20260711
2,SliceBF,50000,50000,711521,4831.84,0.0966369,0.00679086,,1,20260711
3,SliceBF,50000,50000,711521,4963.33,0.0992666,0.00697566,,1,20260711
4,SliceBF,50000,50000,711521,4962.76,0.0992552,0.00697486,,1,20260711
0,XEBFF-Conj,50000,50000,711521,16614.3,0.332286,0.0233504,,1,20260711
1,XEBFF-Conj,50000,50000,711521,16661.3,0.333227,0.0234165,,1,20260711
2,XEBFF-Conj,50000,50000,711521,16736.3,0.334726,0.0235219,,1,20260711
3,XEBFF-Conj,50000,50000,711521,16622.3,0.332447,0.0233617,,1,20260711
4,XEBFF-Conj,50000,50000,711521,16598.7,0.331975,0.0233285,,1,20260711
0,Doris,100000,100000,1661867,105976,1.05976,0.0637691,6,1,20260711
1,Doris,100000,100000,1661867,68844.5,0.688445,0.041426,3,1,20260711
2,Doris,100000,100000,1661867,69434.4,0.694344,0.041781,3,1,20260711
3,Doris,100000,100000,1661867,69638.8,0.696388,0.041904,3,1,20260711
4,Doris,100000,100000,1661867,60118.7,0.601187,0.0361754,2,1,20260711
5,Doris,100000,100000,1661867,69374.7,0.693747,0.0417451,3,1,20260711
6,Doris,100000,100000,1661867,98085.3,0.980853,0.0590212,6,1,20260711
7,Doris,100000,100000,1661867,98220.4,0.982204,0.0591024,6,1,20260711
8,Doris,100000,100000,1661867,53334.7,0.533347,0.0320932,1,1,20260711
9,Doris,100000,100000,1661867,59426.4,0.594264,0.0357588,2,1,20260711
0,Ren,100000,100000,1661867,12211.8,0.122118,0.00734826,,1,20260711
1,Ren,100000,100000,1661867,12242.1,0.122421,0.00736646,,1,20260711
2,Ren,100000,100000,1661867,12272.4,0.122724,0.00738472,,1,20260711
3,Ren,100000,100000,1661867,12310.7,0.123107,0.00740776,,1,20260711
4,Ren,100000,100000,1661867,12311.5,0.123115,0.00740822,,1,20260711
0,SliceBF,100000,100000,1661867,11063.2,0.110632,0.0066571,,1,20260711
1,SliceBF,100000,100000,1661867,11100.3,0.111003,0.00667944,,1,20260711
2,SliceBF,100000,100000,1661867,11045.7,0.110457,0.00664659,,1,20260711
3,SliceBF,100000,100000,1661867,11206.9,0.112069,0.00674358,,1,20260711
4,SliceBF,100000,100000,1661867,11128.4,0.111284,0.00669634,,1,20260711
0,XEBFF-Conj,100000,100000,1661867,46025.3,0.460253,0.0276949,,1,20260711
1,XEBFF-Conj,100000,100000,1661867,46113.6,0.461136,0.0277481,,1,20260711
2,XEBFF-Conj,100000,100000,1661867,46567,0.46567,0.0280209,,1,20260711
3,XEBFF-Conj,100000,100000,1661867,46179.9,0.461799,0.027788,,1,20260711
4,XEBFF-Conj,100000,100000,1661867,46204.3,0.462043,0.0278026,,1,20260711
0,Doris,150000,150000,2667880,281241,1.87494,0.105418,11,1,20260711
1,Doris,150000,150000,2667880,255562,1.70374,0.095792,11,1,20260711
2,Doris,150000,150000,2667880,183506,1.22337,0.0687835,6,1,20260711
3,Doris,150000,150000,2667880,120760,0.805067,0.0452644,3,1,20260711
4,Doris,150000,150000,2667880,122367,0.81578,0.0458668,3,1,20260711
5,Doris,150000,150000,2667880,173630,1.15753,0.0650817,6,1,20260711
6,Doris,150000,150000,2667880,173201,1.15467,0.0649207,6,1,20260711
7,Doris,150000,150000,2667880,122308,0.815388,0.0458447,3,1,20260711
8,Doris,150000,150000,2667880,173541,1.15694,0.0650483,6,1,20260711
9,Doris,150000,150000,2667880,120829,0.805527,0.0452903,3,1,20260711
0,Ren,150000,150000,2667880,19592,0.130613,0.00734367,,1,20260711
1,Ren,150000,150000,2667880,19638,0.13092,0.00736089,,1,20260711
2,Ren,150000,150000,2667880,19691.9,0.131279,0.00738109,,1,20260711
3,Ren,150000,150000,2667880,19770.2,0.131802,0.00741047,,1,20260711
4,Ren,150000,150000,2667880,19739,0.131593,0.00739876,,1,20260711
0,SliceBF,150000,150000,2667880,17662.5,0.11775,0.00662043,,1,20260711
1,SliceBF,150000,150000,2667880,17666.8,0.117779,0.00662203,,1,20260711
2,SliceBF,150000,150000,2667880,17741.2,0.118275,0.00664993,,1,20260711
3,SliceBF,150000,150000,2667880,17943.9,0.119626,0.00672591,,1,20260711
4,SliceBF,150000,150000,2667880,17809.4,0.11873,0.00667551,,1,20260711
0,XEBFF-Conj,150000,150000,2667880,81632.7,0.544218,0.0305983,,1,20260711
1,XEBFF-Conj,150000,150000,2667880,80541.1,0.536941,0.0301892,,1,20260711
2,XEBFF-Conj,150000,150000,2667880,80810.3,0.538736,0.0302901,,1,20260711
3,XEBFF-Conj,150000,150000,2667880,80592.7,0.537285,0.0302085,,1,20260711
4,XEBFF-Conj,150000,150000,2667880,81962.7,0.546418,0.030722,,1,20260711
0,Doris,200000,200000,3737347,432801,2.16401,0.115804,11,1,20260711
1,Doris,200000,200000,3737347,257346,1.28673,0.0688579,6,1,20260711
2,Doris,200000,200000,3737347,404690,2.02345,0.108283,11,1,20260711
3,Doris,200000,200000,3737347,260336,1.30168,0.069658,6,1,20260711
4,Doris,200000,200000,3737347,393524,1.96762,0.105295,11,1,20260711
5,Doris,200000,200000,3737347,262580,1.3129,0.0702585,6,1,20260711
6,Doris,200000,200000,3737347,260380,1.3019,0.0696698,6,1,20260711
7,Doris,200000,200000,3737347,261514,1.30757,0.0699731,6,1,20260711
8,Doris,200000,200000,3737347,393253,1.96627,0.105223,11,1,20260711
9,Doris,200000,200000,3737347,697744,3.48872,0.186695,22,1,20260711
0,Ren,200000,200000,3737347,27493.4,0.137467,0.00735641,,1,20260711
1,Ren,200000,200000,3737347,27595.4,0.137977,0.00738368,,1,20260711
2,Ren,200000,200000,3737347,27623.3,0.138117,0.00739116,,1,20260711
3,Ren,200000,200000,3737347,27702.2,0.138511,0.00741226,,1,20260711
4,Ren,200000,200000,3737347,27691.7,0.138458,0.00740945,,1,20260711
0,SliceBF,200000,200000,3737347,24782.8,0.123914,0.00663111,,1,20260711
1,SliceBF,200000,200000,3737347,24536.4,0.122682,0.00656519,,1,20260711
2,SliceBF,200000,200000,3737347,24757.6,0.123788,0.00662438,,1,20260711
3,SliceBF,200000,200000,3737347,24701.3,0.123506,0.0066093,,1,20260711
4,SliceBF,200000,200000,3737347,24848.1,0.12424,0.00664858,,1,20260711
0,XEBFF-Conj,200000,200000,3737347,118997,0.594983,0.0318398,,1,20260711
1,XEBFF-Conj,200000,200000,3737347,119802,0.599011,0.0320554,,1,20260711
2,XEBFF-Conj,200000,200000,3737347,120293,0.601464,0.0321867,,1,20260711
3,XEBFF-Conj,200000,200000,3737347,120311,0.601555,0.0321915,,1,20260711
4,XEBFF-Conj,200000,200000,3737347,119893,0.599466,0.0320797,,1,20260711
0,Doris,250000,250000,4769586,519852,2.07941,0.108993,11,1,20260711
1,Doris,250000,250000,4769586,515666,2.06267,0.108116,11,1,20260711
2,Doris,250000,250000,4769586,526440,2.10576,0.110374,11,1,20260711
3,Doris,250000,250000,4769586,344026,1.3761,0.0721291,6,1,20260711
4,Doris,250000,250000,4769586,523242,2.09297,0.109704,11,1,20260711
5,Doris,250000,250000,4769586,520166,2.08066,0.109059,11,1,20260711
6,Doris,250000,250000,4769586,519860,2.07944,0.108995,11,1,20260711
7,Doris,250000,250000,4769586,899666,3.59866,0.188626,22,1,20260711
8,Doris,250000,250000,4769586,346105,1.38442,0.072565,6,1,20260711
9,Doris,250000,250000,4769586,527773,2.11109,0.110654,11,1,20260711
0,Ren,250000,250000,4769586,35003.2,0.140013,0.00733884,,1,20260711
1,Ren,250000,250000,4769586,35179.4,0.140717,0.00737577,,1,20260711
2,Ren,250000,250000,4769586,35183.9,0.140736,0.00737672,,1,20260711
3,Ren,250000,250000,4769586,35126.8,0.140507,0.00736474,,1,20260711
4,Ren,250000,250000,4769586,35774.5,0.143098,0.00750055,,1,20260711
0,SliceBF,250000,250000,4769586,34473.6,0.137894,0.0072278,,1,20260711
