scheme,N,client_keys_bytes,client_aux_bytes,client_total_state_bytes,owner_total_state_bytes,owner_counter_plane_bytes,owner_token_state_bytes,snapshot_bytes,delta_log_bytes,verification_metadata_bytes,encrypted_records_bytes,server_index_bytes,total_managed_bytes,xset_bytes,tset_bytes,cms_bytes,padded_slots,run_id,seed
SliceBF,50000,32,1728568,1728600,26817031,17217058,7376777,207224864,0,20220032,2831360,230276256,258821887,0,0,0,50560,0,20260711
XEBFF-Conj,50000,80,54368,54448,0,0,0,0,0,0,0,216870503,216924951,188534424,28336079,54368,0,0,20260711
Doris,50000,80,586760,586840,0,0,0,0,0,0,0,234469643,235056483,206133564,28336079,0,0,0,20260711
SliceBF,100000,32,3179988,3180020,61809377,40142694,17241483,412221472,0,46246656,5634048,464102176,529091573,0,0,0,100608,0,20260711
XEBFF-Conj,100000,80,54368,54448,0,0,0,0,0,0,0,588949901,589004349,523171224,65778677,54368,0,0,20260711
Doris,100000,80,965864,965944,0,0,0,0,0,0,0,637782017,638747961,572003340,65778677,0,0,0,20260711
SliceBF,150000,32,4629524,4629556,98600675,64386658,27589473,616955936,0,73251008,8433152,698640096,801870327,0,0,0,150592,0,20260711
XEBFF-Conj,150000,80,54368,54448,0,0,0,0,0,0,0,1006831040,1006885488,901468824,105362216,54368,0,0,20260711
Doris,150000,80,1314896,1314976,0,0,0,0,0,0,0,1090970788,1092285764,985608572,105362216,0,0,0,20260711
SliceBF,200000,32,6080916,6080948,137394635,90074892,38493231,821952544,0,101612352,11235840,934800736,1078276319,0,0,0,200640,0,20260711
XEBFF-Conj,200000,80,54368,54448,0,0,0,0,0,0,0,1479269429,1479323877,1332038424,147231005,54368,0,0,20260711
Doris,200000,80,1474472,1474552,0,0,0,0,0,0,0,1603596745,1605071297,1456365740,147231005,0,0,0,20260711
SliceBF,250000,32,7528596,7528628,174940511,114943608,48973671,1026424864,0,128906304,14031360,1169362528,1351831667,0,0,0,250560,0,20260711
XEBFF-Conj,250000,80,54368,54448,0,0,0,0,0,0,0,1925809558,1925864006,1738188824,187620734,54368,0,0,20260711
Doris,250000,80,1606880,1606960,0,0,0,0,0,0,0,2088041786,2089648746,1900421052,187620734,0,0,0,20260711
SliceBF,300000,32,8981844,8981876,210581092,138494718,58858550,1231683616,0,155110272,16837632,1403631520,1623194488,0,0,0,300672,0,20260711
XEBFF-Conj,300000,80,54368,54448,0,0,0,0,0,0,0,2327047268,2327101716,2101228824,225818444,54368,0,0,20260711
Doris,300000,80,1713056,1713136,0,0,0,0,0,0,0,2523164776,2524877912,2297346332,225818444,0,0,0,20260711
Ren,50000,48,889106,889154,0,0,0,0,0,0,0,85046104,85935258,0,0,0,0,0,20260711
Ren,100000,48,1479304,1479352,0,0,0,0,0,0,0,187287592,188766944,0,0,0,0,0,20260711
Ren,150000,48,2021167,2021215,0,0,0,0,0,0,0,327353680,329374895,0,0,0,0,0,20260711
Ren,200000,48,2266077,2266125,0,0,0,0,0,0,0,404355304,406621429,0,0,0,0,0,20260711
Ren,250000,48,2471264,2471312,0,0,0,0,0,0,0,613942816,616414128,0,0,0,0,0,20260711
Ren,300000,48,2637074,2637122,0,0,0,0,0,0,0,684265648,686902770,0,0,0,0,0,20260711
