experiment,run_id,cycle,scheme,scenario,operation,N,q,document_id,keywords,batch_update_ms,first_query_ms,migrated_updates,result_size,correct,seed
E8,0,0,SliceBF,first_after_update,delete,50000,3,8315117,15,0.3705,0.6084,12,0,1,20260711
E8,0,0,SliceBF,first_after_update,insert,50000,3,8315117,15,0.7354,0.4467,24,1,1,20260711
E8,0,1,SliceBF,first_after_update,delete,50000,3,8352414,17,0.6733,0.4857,12,2,1,20260711
E8,0,1,SliceBF,first_after_update,insert,50000,3,8352414,17,0.6994,0.5199,24,3,1,20260711
E8,0,2,SliceBF,first_after_update,delete,50000,3,8351208,14,0.2977,0.4858,22,0,1,20260711
E8,0,2,SliceBF,first_after_update,insert,50000,3,8351208,14,0.5178,0.536,34,1,1,20260711
E8,0,3,SliceBF,first_after_update,delete,50000,3,8414166,13,0.2998,0.4375,20,0,1,20260711
E8,0,3,SliceBF,first_after_update,insert,50000,3,8414166,13,0.4724,0.4769,32,1,1,20260711
E8,0,4,SliceBF,first_after_update,delete,50000,3,8405707,17,0.5983,0.5008,32,0,1,20260711
E8,0,4,SliceBF,first_after_update,insert,50000,3,8405707,17,0.6823,0.5615,44,1,1,20260711
E8,0,5,SliceBF,first_after_update,delete,50000,3,8406497,16,0.3133,0.4512,14,10,1,20260711
E8,0,5,SliceBF,first_after_update,insert,50000,3,8406497,16,0.5086,0.4967,26,11,1,20260711
E8,0,6,SliceBF,first_after_update,delete,50000,3,8407285,9,0.2721,0.8979,38,84,1,20260711
E8,0,6,SliceBF,first_after_update,insert,50000,3,8407285,9,0.4077,0.917,50,85,1,20260711
E8,0,7,SliceBF,first_after_update,delete,50000,3,8410387,12,0.2799,0.8318,68,45,1,20260711
E8,0,7,SliceBF,first_after_update,insert,50000,3,8410387,12,0.4513,0.9664,80,46,1,20260711
E8,0,8,SliceBF,first_after_update,delete,50000,3,8403866,15,0.4847,2.4007,80,387,1,20260711
E8,0,8,SliceBF,first_after_update,insert,50000,3,8403866,15,0.5367,2.2688,92,388,1,20260711
E8,0,9,SliceBF,first_after_update,delete,50000,3,8412332,9,0.2619,0.8952,92,36,1,20260711
E8,0,9,SliceBF,first_after_update,insert,50000,3,8412332,9,0.4228,0.9036,104,37,1,20260711
E8,0,10,SliceBF,first_after_update,delete,50000,3,8421249,19,0.5798,0.4786,16,0,1,20260711
E8,0,10,SliceBF,first_after_update,insert,50000,3,8421249,19,0.72,0.519,28,1,1,20260711
E8,0,11,SliceBF,first_after_update,delete,50000,3,8408240,9,0.2558,0.5564,38,5,1,20260711
E8,0,11,SliceBF,first_after_update,insert,50000,3,8408240,9,0.4073,0.6001,50,6,1,20260711
E8,0,12,SliceBF,first_after_update,delete,50000,3,8406277,10,0.2655,0.7181,84,5,1,20260711
E8,0,12,SliceBF,first_after_update,insert,50000,3,8406277,10,0.4326,0.7847,96,6,1,20260711
E8,0,13,SliceBF,first_after_update,delete,50000,3,8412427,13,0.468,0.573,20,1,1,20260711
E8,0,13,SliceBF,first_after_update,insert,50000,3,8412427,13,0.5353,0.4831,32,2,1,20260711
E8,0,14,SliceBF,first_after_update,delete,50000,3,8409682,10,0.2683,0.9086,28,38,1,20260711
E8,0,14,SliceBF,first_after_update,insert,50000,3,8409682,10,0.4374,0.6673,40,39,1,20260711
E8,0,15,SliceBF,first_after_update,delete,50000,3,8410902,12,0.2866,3.1399,54,587,1,20260711
E8,0,15,SliceBF,first_after_update,insert,50000,3,8410902,12,0.4742,3.0229,66,588,1,20260711
E8,0,16,SliceBF,first_after_update,delete,50000,3,8413858,14,0.3109,0.6458,66,0,1,20260711
E8,0,16,SliceBF,first_after_update,insert,50000,3,8413858,14,0.4958,0.6986,78,1,1,20260711
E8,0,17,SliceBF,first_after_update,delete,50000,3,8401172,8,0.1608,1.0916,156,41,1,20260711
E8,0,17,SliceBF,first_after_update,insert,50000,3,8401172,8,0.3125,1.2872,168,42,1,20260711
E8,0,18,SliceBF,first_after_update,delete,50000,3,8401883,13,0.2972,0.5997,60,0,1,20260711
E8,0,18,SliceBF,first_after_update,insert,50000,3,8401883,13,0.5407,0.6398,72,1,1,20260711
E8,0,19,SliceBF,first_after_update,delete,50000,3,8421256,10,0.2994,1.0232,168,12,1,20260711
E8,0,19,SliceBF,first_after_update,insert,50000,3,8421256,10,0.4232,1.0605,180,13,1,20260711
E8,0,20,SliceBF,first_after_update,delete,50000,3,8403467,14,0.2985,0.6414,68,0,1,20260711
E8,0,20,SliceBF,first_after_update,insert,50000,3,8403467,14,0.5279,0.6386,80,1,1,20260711
E8,0,21,SliceBF,first_after_update,delete,50000,3,8418701,15,0.3086,0.4133,18,0,1,20260711
E8,0,21,SliceBF,first_after_update,insert,50000,3,8418701,15,0.5219,0.4574,30,1,1,20260711
E8,0,22,SliceBF,first_after_update,delete,50000,3,8410524,12,0.277,0.6327,70,0,1,20260711
E8,0,22,SliceBF,first_after_update,insert,50000,3,8410524,12,0.4505,0.6883,82,1,1,20260711
E8,0,23,SliceBF,first_after_update,delete,50000,3,8405120,17,0.5493,0.3961,12,0,1,20260711
E8,0,23,SliceBF,first_after_update,insert,50000,3,8405120,17,0.6806,0.5691,24,1,1,20260711
E8,0,24,SliceBF,first_after_update,delete,50000,3,8411896,9,0.255,1.3004,224,18,1,20260711
E8,0,24,SliceBF,first_after_update,insert,50000,3,8411896,9,0.5424,1.3182,236,19,1,20260711
E8,0,25,SliceBF,first_after_update,delete,50000,3,8407185,9,0.2565,1.0905,206,3,1,20260711
E8,0,25,SliceBF,first_after_update,insert,50000,3,8407185,9,0.409,1.1617,218,4,1,20260711
E8,0,26,SliceBF,first_after_update,delete,50000,3,8411894,8,0.1613,1.3324,268,16,1,20260711
E8,0,26,SliceBF,first_after_update,insert,50000,3,8411894,8,0.3296,1.3682,280,17,1,20260711
E8,0,27,SliceBF,first_after_update,delete,50000,3,8412647,9,0.2546,1.9256,302,131,1,20260711
E8,0,27,SliceBF,first_after_update,insert,50000,3,8412647,9,0.4209,1.9091,314,132,1,20260711
E8,0,28,SliceBF,first_after_update,delete,50000,3,8402064,12,0.2827,0.6423,76,1,1,20260711
E8,0,28,SliceBF,first_after_update,insert,50000,3,8402064,12,0.4549,0.6817,88,2,1,20260711
E8,0,29,SliceBF,first_after_update,delete,50000,3,8413535,11,0.3775,0.8442,136,1,1,20260711
E8,0,29,SliceBF,first_after_update,insert,50000,3,8413535,11,0.6016,0.9032,148,2,1,20260711
E8,0,30,SliceBF,first_after_update,delete,50000,3,8413170,10,0.2659,0.7519,118,1,1,20260711
E8,0,30,SliceBF,first_after_update,insert,50000,3,8413170,10,0.4564,0.8011,130,2,1,20260711
E8,0,31,SliceBF,first_after_update,delete,50000,3,8412951,13,0.2881,0.3793,12,0,1,20260711
E8,0,31,SliceBF,first_after_update,insert,50000,3,8412951,13,0.4681,0.4219,24,1,1,20260711
E8,0,32,SliceBF,first_after_update,delete,50000,3,8401680,17,0.6091,0.9584,172,5,1,20260711
E8,0,32,SliceBF,first_after_update,insert,50000,3,8401680,17,0.6857,0.9956,184,6,1,20260711
E8,0,33,SliceBF,first_after_update,delete,50000,3,8411937,17,0.5748,0.3772,14,0,1,20260711
E8,0,33,SliceBF,first_after_update,insert,50000,3,8411937,17,0.6962,0.4133,26,1,1,20260711
E8,0,34,SliceBF,first_after_update,delete,50000,3,8412641,11,0.2686,0.8634,150,0,1,20260711
E8,0,34,SliceBF,first_after_update,insert,50000,3,8412641,11,0.4401,0.9074,162,1,1,20260711
E8,0,35,SliceBF,first_after_update,delete,50000,3,8408369,10,0.2605,3.6518,376,397,1,20260711
E8,0,35,SliceBF,first_after_update,insert,50000,3,8408369,10,0.533,3.1716,388,398,1,20260711
E8,0,36,SliceBF,first_after_update,delete,50000,3,8401339,13,0.3006,1.6504,344,8,1,20260711
E8,0,36,SliceBF,first_after_update,insert,50000,3,8401339,13,0.4827,1.6375,356,9,1,20260711
E8,0,37,SliceBF,first_after_update,delete,50000,3,8413715,16,0.3177,0.9476,170,1,1,20260711
E8,0,37,SliceBF,first_after_update,insert,50000,3,8413715,16,0.5114,0.9842,182,2,1,20260711
E8,0,38,SliceBF,first_after_update,delete,50000,3,8410541,12,0.2794,0.7374,104,0,1,20260711
E8,0,38,SliceBF,first_after_update,insert,50000,3,8410541,12,0.4848,0.8076,116,1,1,20260711
E8,0,39,SliceBF,first_after_update,delete,50000,3,8403683,13,0.2925,1.0329,134,1,1,20260711
E8,0,39,SliceBF,first_after_update,insert,50000,3,8403683,13,0.4714,0.9306,146,2,1,20260711
E8,0,40,SliceBF,first_after_update,delete,50000,3,8406686,15,0.3071,0.6367,30,33,1,20260711
E8,0,40,SliceBF,first_after_update,insert,50000,3,8406686,15,0.5007,0.67,42,34,1,20260711
E8,0,41,SliceBF,first_after_update,delete,50000,3,8400837,16,0.3706,0.7991,116,0,1,20260711
E8,0,41,SliceBF,first_after_update,insert,50000,3,8400837,16,0.5764,0.8382,128,1,1,20260711
E8,0,42,SliceBF,first_after_update,delete,50000,3,8401489,7,0.1494,0.971,188,0,1,20260711
E8,0,42,SliceBF,first_after_update,insert,50000,3,8401489,7,0.2979,1.012,200,1,1,20260711
E8,0,43,SliceBF,first_after_update,delete,50000,3,8410530,12,0.3126,2.2274,458,87,1,20260711
E8,0,43,SliceBF,first_after_update,insert,50000,3,8410530,12,0.4686,2.2869,470,88,1,20260711
E8,0,44,SliceBF,first_after_update,delete,50000,3,8403593,9,0.2562,2.239,458,65,1,20260711
E8,0,44,SliceBF,first_after_update,insert,50000,3,8403593,9,0.4263,2.232,470,66,1,20260711
E8,0,45,SliceBF,first_after_update,delete,50000,3,8413182,11,0.2749,1.0091,178,1,1,20260711
E8,0,45,SliceBF,first_after_update,insert,50000,3,8413182,11,0.4487,1.0572,190,2,1,20260711
E8,0,46,SliceBF,first_after_update,delete,50000,3,8410298,10,0.2645,0.878,100,37,1,20260711
E8,0,46,SliceBF,first_after_update,insert,50000,3,8410298,10,0.424,0.8937,112,38,1,20260711
E8,0,47,SliceBF,first_after_update,delete,50000,3,8413680,13,0.2927,0.4676,24,1,1,20260711
E8,0,47,SliceBF,first_after_update,insert,50000,3,8413680,13,0.4685,0.5056,36,2,1,20260711
E8,0,48,SliceBF,first_after_update,delete,50000,3,8413191,16,0.3123,0.4493,36,0,1,20260711
E8,0,48,SliceBF,first_after_update,insert,50000,3,8413191,16,0.5083,0.4914,48,1,1,20260711
E8,0,49,SliceBF,first_after_update,delete,50000,3,8410522,22,0.6338,1.0197,190,0,1,20260711
E8,0,49,SliceBF,first_after_update,insert,50000,3,8410522,22,0.7625,1.0985,202,1,1,20260711
E8,0,50,SliceBF,first_after_update,delete,50000,3,8414203,20,0.8111,1.1587,166,11,1,20260711
E8,0,50,SliceBF,first_after_update,insert,50000,3,8414203,20,0.7948,1.0283,178,12,1,20260711
E8,0,51,SliceBF,first_after_update,delete,50000,3,8410535,12,0.2816,0.4378,22,0,1,20260711
E8,0,51,SliceBF,first_after_update,insert,50000,3,8410535,12,0.4577,0.4767,34,1,1,20260711
E8,0,52,SliceBF,first_after_update,delete,50000,3,8401160,8,0.1573,0.9844,198,0,1,20260711
E8,0,52,SliceBF,first_after_update,insert,50000,3,8401160,8,0.3145,1.0196,210,1,1,20260711
E8,0,53,SliceBF,first_after_update,delete,50000,3,8400623,17,0.5873,1.0917,228,1,1,20260711
E8,0,53,SliceBF,first_after_update,insert,50000,3,8400623,17,0.6864,1.1634,240,2,1,20260711
E8,0,54,SliceBF,first_after_update,delete,50000,3,8408370,7,0.1498,2.3305,444,116,1,20260711
E8,0,54,SliceBF,first_after_update,insert,50000,3,8408370,7,0.3021,2.6625,456,117,1,20260711
E8,0,55,SliceBF,first_after_update,delete,50000,3,8411560,12,0.2965,1.1474,228,4,1,20260711
E8,0,55,SliceBF,first_after_update,insert,50000,3,8411560,12,0.4668,1.3141,240,5,1,20260711
E8,0,56,SliceBF,first_after_update,delete,50000,3,8410647,13,0.2921,1.1357,238,1,1,20260711
E8,0,56,SliceBF,first_after_update,insert,50000,3,8410647,13,0.4747,1.1912,250,2,1,20260711
E8,0,57,SliceBF,first_after_update,delete,50000,3,8403289,12,0.2833,1.1792,256,1,1,20260711
E8,0,57,SliceBF,first_after_update,insert,50000,3,8403289,12,0.7994,1.2459,268,2,1,20260711
E8,0,58,SliceBF,first_after_update,delete,50000,3,8413208,14,0.2998,0.4621,42,0,1,20260711
E8,0,58,SliceBF,first_after_update,insert,50000,3,8413208,14,0.4927,0.5023,54,1,1,20260711
E8,0,59,SliceBF,first_after_update,delete,50000,3,8412255,8,0.1567,0.7074,88,6,1,20260711
E8,0,59,SliceBF,first_after_update,insert,50000,3,8412255,8,0.3138,0.7049,100,7,1,20260711
E8,0,60,SliceBF,first_after_update,delete,50000,3,8408997,17,0.7269,2.1083,148,269,1,20260711
E8,0,60,SliceBF,first_after_update,insert,50000,3,8408997,17,0.7131,1.9517,160,270,1,20260711
E8,0,61,SliceBF,first_after_update,delete,50000,3,8501919,11,0.2798,0.7917,110,3,1,20260711
E8,0,61,SliceBF,first_after_update,insert,50000,3,8501919,11,0.4548,0.8197,122,4,1,20260711
E8,0,62,SliceBF,first_after_update,delete,50000,3,8412832,11,0.2996,0.6538,78,1,1,20260711
E8,0,62,SliceBF,first_after_update,insert,50000,3,8412832,11,0.4369,0.6579,90,2,1,20260711
