experiment,scheme,N,q,selectivity,metric,unit,mean,median,p50,p95,sd_between_runs,ci95_low,ci95_high,ci95_half,n_runs,n_measurements,param1,param2
E8,Ren,50000,3,delete,batch_update_ms,ms,0.101718,0.0976,0.0976,0.14563999999999996,0.0011326583774466156,0.1008942,0.10259599999999999,0.0008508999999999947,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,50000,3,insert,batch_update_ms,ms,0.1015096,0.09755,0.09755,0.14841999999999989,0.002790335069485381,0.09998860000000001,0.10406520000000001,0.0020383,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,100000,3,delete,batch_update_ms,ms,0.1078382,0.1032,0.1032,0.15334999999999993,0.004607321206514696,0.10462339999999999,0.1118246,0.0036006000000000024,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,100000,3,insert,batch_update_ms,ms,0.1090246,0.1013,0.1013,0.16538499999999995,0.0033288870963131237,0.10690140000000001,0.1119848,0.002541699999999994,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,150000,3,delete,batch_update_ms,ms,0.10813880000000001,0.10350000000000001,0.10350000000000001,0.152,0.0027031224907502808,0.1065808,0.110594,0.0020065999999999973,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,150000,3,insert,batch_update_ms,ms,0.11129979999999999,0.10264999999999999,0.10264999999999999,0.1689,0.004272429250438211,0.10803320000000001,0.1145664,0.0032665999999999945,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,200000,3,delete,batch_update_ms,ms,0.1101614,0.1065,0.1065,0.15514999999999995,0.0016302059072399427,0.10892600000000001,0.1113968,0.0012353999999999976,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,200000,3,insert,batch_update_ms,ms,0.1120212,0.1047,0.1047,0.1649999999999999,0.0030054322817192206,0.1096746,0.1144838,0.0024046,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,250000,3,delete,batch_update_ms,ms,0.1115806,0.107,0.107,0.16091999999999998,0.004766596563587062,0.10849919999999999,0.11573660000000001,0.0036187000000000094,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,250000,3,insert,batch_update_ms,ms,0.1107426,0.10565,0.10565,0.16423,0.0015878084897115257,0.109403,0.11190960000000001,0.0012533000000000058,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,300000,3,delete,batch_update_ms,ms,0.11268700000000001,0.10685,0.10685,0.1633049999999999,0.004894999540347275,0.10979159999999999,0.1170736,0.0036410000000000053,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,Ren,300000,3,insert,batch_update_ms,ms,0.1125062,0.10445,0.10445,0.16982999999999998,0.0032287189719763507,0.11020440000000001,0.11535840000000001,0.002577000000000003,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,50000,3,delete,batch_update_ms,ms,0.3151884,0.28575,0.28575,0.5798449999999999,0.00435333691551663,0.3118482,0.31852859999999994,0.00334019999999996,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,50000,3,insert,batch_update_ms,ms,0.48889940000000004,0.46299999999999997,0.46299999999999997,0.7248249999999999,0.0041822191836392375,0.485881,0.49252979999999996,0.0033243999999999774,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,100000,3,delete,batch_update_ms,ms,0.3271254,0.2905,0.2905,0.617945,0.014063591017233115,0.31901799999999997,0.3398562,0.010419100000000014,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,100000,3,insert,batch_update_ms,ms,0.5817684,0.5506,0.5506,0.825355,0.017450582520363044,0.5691054,0.5969272,0.013910900000000004,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
E8,SliceBF,150000,3,delete,batch_update_ms,ms,0.3322148,0.29125,0.29125,0.6438149999999999,0.004641934155069421,0.32857499999999995,0.3357712,0.0035981000000000207,5,500,scenario=first_after_update,one_cycle=one_document_delete_or_insert
